"hospital","test_code","instr_code","qc_name","qc_lot","date_performed","date","time","tech_code","shift","result","modifier","verbose","mean","sd"
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-13 15:57:00","2021-06-13","15:57:00",3543,2,75.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-13 16:15:00","2021-06-13","16:15:00",3150,3,75.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-14 07:02:00","2021-06-14","07:02:00",3392,1,71.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-14 14:48:00","2021-06-14","14:48:00",3543,2,74.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-15 07:08:00","2021-06-15","07:08:00",3392,1,71.7,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-15 15:30:00","2021-06-15","15:30:00",8232,2,74.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-16 07:10:00","2021-06-16","07:10:00",3392,1,74.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-16 15:11:00","2021-06-16","15:11:00",9008,2,75,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-16 17:13:00","2021-06-16","17:13:00",3150,3,75,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 06:59:00","2021-06-17","06:59:00",3392,1,73.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 10:32:00","2021-06-17","10:32:00",3392,2,76.3,"PRECAL","     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 11:33:00","2021-06-17","11:33:00",3392,2,73.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 11:59:00","2021-06-17","11:59:00",3392,2,72.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 12:07:00","2021-06-17","12:07:00",3392,2,73.8,"POSTCAL QC","     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 13:39:00","2021-06-17","13:39:00",3392,2,74.7,"NEW CAL QC RPT","     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-17 15:11:00","2021-06-17","15:11:00",3543,2,74.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-18 07:10:00","2021-06-18","07:10:00",8232,1,73.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-18 15:05:00","2021-06-18","15:05:00",3543,2,73.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-19 07:14:00","2021-06-19","07:14:00",3392,1,72.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-19 15:06:00","2021-06-19","15:06:00",3543,2,75.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-20 07:12:00","2021-06-20","07:12:00",3392,1,72.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-20 14:54:00","2021-06-20","14:54:00",3392,2,72.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-21 07:13:00","2021-06-21","07:13:00",9006,1,71.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-21 15:11:00","2021-06-21","15:11:00",3184,2,73.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-21 22:29:00","2021-06-21","22:29:00",3150,3,73.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-22 07:22:00","2021-06-22","07:22:00",9006,1,73.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-22 15:11:00","2021-06-22","15:11:00",3713,2,73.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-23 07:32:00","2021-06-23","07:32:00",3872,1,73.1,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-23 15:25:00","2021-06-23","15:25:00",3713,2,73,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-23 23:11:00","2021-06-23","23:11:00",3150,3,73,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-24 07:23:00","2021-06-24","07:23:00",3872,1,72.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-24 15:16:00","2021-06-24","15:16:00",3543,2,73,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-25 07:20:00","2021-06-25","07:20:00",3872,1,74.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-25 15:27:00","2021-06-25","15:27:00",3543,2,74.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-26 07:24:00","2021-06-26","07:24:00",9008,1,73.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-26 15:18:00","2021-06-26","15:18:00",3543,2,73.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-27 07:22:00","2021-06-27","07:22:00",3184,1,71.1,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-27 15:11:00","2021-06-27","15:11:00",3543,2,73.1,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-28 07:21:00","2021-06-28","07:21:00",3872,1,73.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-28 15:22:00","2021-06-28","15:22:00",3543,2,73.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-29 07:11:00","2021-06-29","07:11:00",3872,1,73.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-29 14:53:00","2021-06-29","14:53:00",9007,2,71.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-29 23:30:00","2021-06-29","23:30:00",3150,3,73.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-29 23:31:00","2021-06-29","23:31:00",3150,3,73.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-30 07:14:00","2021-06-30","07:14:00",3872,1,72.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-06-30 15:14:00","2021-06-30","15:14:00",9008,2,73.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-01 07:48:00","2021-07-01","07:48:00",3713,1,73.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-01 15:22:00","2021-07-01","15:22:00",3543,2,74.1,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-02 07:07:00","2021-07-02","07:07:00",3872,1,71.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-02 11:08:00","2021-07-02","11:08:00",3872,2,71.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-02 15:16:00","2021-07-02","15:16:00",3543,2,73.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-02 23:24:00","2021-07-02","23:24:00",3713,3,73,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-03 07:06:00","2021-07-03","07:06:00",3543,1,71.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-03 15:15:00","2021-07-03","15:15:00",3543,2,72.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-03 22:09:00","2021-07-03","22:09:00",3713,3,73.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-04 07:11:00","2021-07-04","07:11:00",3150,1,72.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-04 14:59:00","2021-07-04","14:59:00",3543,2,73.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-05 07:15:00","2021-07-05","07:15:00",3872,1,72.8,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-05 14:58:00","2021-07-05","14:58:00",3543,2,74,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-06 07:06:00","2021-07-06","07:06:00",3866,1,74.4,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-06 12:18:00","2021-07-06","12:18:00",9007,2,71.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-06 15:34:00","2021-07-06","15:34:00",8232,2,73.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 07:19:00","2021-07-07","07:19:00",3866,1,73.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 10:03:00","2021-07-07","10:03:00",3866,2,78.4,"PRECAL","     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 10:33:00","2021-07-07","10:33:00",3866,2,74.4,"POSTCAL","     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 11:19:00","2021-07-07","11:19:00",3866,2,72.9,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 11:19:00","2021-07-07","11:19:00",3866,2,75.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 15:25:00","2021-07-07","15:25:00",9008,2,74.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-07 22:27:00","2021-07-07","22:27:00",3150,3,73.5,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-08 07:12:00","2021-07-08","07:12:00",3866,1,71.6,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-08 13:44:00","2021-07-08","13:44:00",3866,2,74.2,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-08 14:58:00","2021-07-08","14:58:00",3543,2,74.3,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
"MSJ","CRQ","JV250","CH1","92901 EXP SEPT 2022","2021-07-09 07:40:00","2021-07-09","07:40:00",3866,1,73.7,NA,"     Creatinine QC BY (MSJ) VITROS 250, PHC BR LC Chemistry L1 LOT #: 92901 EXP SEPT 2022",72.1,2.1
